user_id,resume_path,document_type,filename
234_Data_Science,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/234_Data Science.pdf,resume,234_Data Science.pdf
342_Web_Designing,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/342_Web Designing.pdf,resume,342_Web Designing.pdf
343_Web_Designing,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/343_Web Designing.pdf,resume,343_Web Designing.pdf
345_Web_Designing,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/345_Web Designing.pdf,resume,345_Web Designing.pdf
355_Web_Designing,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/355_Web Designing.pdf,resume,355_Web Designing.pdf
367_Web_Designing,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/367_Web Designing.pdf,resume,367_Web Designing.pdf
372_Web_Designing,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/372_Web Designing.pdf,resume,372_Web Designing.pdf
375_Web_Designing,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/375_Web Designing.pdf,resume,375_Web Designing.pdf
380_Web_Designing,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/380_Web Designing.pdf,resume,380_Web Designing.pdf
531_Java_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/531_Java Developer.pdf,resume,531_Java Developer.pdf
536_Java_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/536_Java Developer.pdf,resume,536_Java Developer.pdf
545_Java_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/545_Java Developer.pdf,resume,545_Java Developer.pdf
549_Java_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/549_Java Developer.pdf,resume,549_Java Developer.pdf
551_Java_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/551_Java Developer.pdf,resume,551_Java Developer.pdf
559_Java_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/559_Java Developer.pdf,resume,559_Java Developer.pdf
565_Java_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/565_Java Developer.pdf,resume,565_Java Developer.pdf
573_Java_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/573_Java Developer.pdf,resume,573_Java Developer.pdf
593_Java_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/593_Java Developer.pdf,resume,593_Java Developer.pdf
633_SAP_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/633_SAP Developer.pdf,resume,633_SAP Developer.pdf
638_SAP_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/638_SAP Developer.pdf,resume,638_SAP Developer.pdf
639_SAP_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/639_SAP Developer.pdf,resume,639_SAP Developer.pdf
640_SAP_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/640_SAP Developer.pdf,resume,640_SAP Developer.pdf
651_SAP_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/651_SAP Developer.pdf,resume,651_SAP Developer.pdf
667_Automation_Testing,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/667_Automation Testing.pdf,resume,667_Automation Testing.pdf
767_Python_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/767_Python Developer.pdf,resume,767_Python Developer.pdf
779_Python_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/779_Python Developer.pdf,resume,779_Python Developer.pdf
780_Python_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/780_Python Developer.pdf,resume,780_Python Developer.pdf
782_Python_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/782_Python Developer.pdf,resume,782_Python Developer.pdf
785_Python_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/785_Python Developer.pdf,resume,785_Python Developer.pdf
786_Python_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/786_Python Developer.pdf,resume,786_Python Developer.pdf
792_Python_Developer,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/792_Python Developer.pdf,resume,792_Python Developer.pdf
